Age	L	M	S	Gender
21.167	-1.148	21.997	0.1248	2
21.25	-1.147	22.015	0.12477	2
21.333	-1.146	22.032	0.12473	2
21.417	-1.145	22.05	0.1247	2
21.5	-1.144	22.067	0.12467	2
21.583	-1.143	22.085	0.12463	2
21.667	-1.142	22.102	0.1246	2
21.75	-1.14	22.119	0.12456	2
21.833	-1.139	22.136	0.12453	2
21.917	-1.138	22.153	0.1245	2
22	-1.137	22.17	0.12447	2
22.083	-1.136	22.187	0.12443	2
22.167	-1.135	22.203	0.1244	2
22.25	-1.134	22.22	0.12437	2
22.333	-1.133	22.237	0.12434	2
22.417	-1.132	22.254	0.1243	2
22.5	-1.131	22.271	0.12427	2
22.583	-1.13	22.287	0.12424	2
22.667	-1.129	22.303	0.12421	2
22.75	-1.127	22.319	0.12418	2
22.833	-1.126	22.336	0.12414	2
22.917	-1.125	22.352	0.12411	2
23	-1.125	22.364	0.12409	2
